0,Tên nhà cung cấp,Đơn vị: Công Ty Cổ Phần Nội Thất Hoàng Vỹ
1,Địa chỉ nhà cung cấp,
0,Người giao,Họ và tên giao: nguyễn nhân Tài người
1,Địa chỉ kho,
2,Kho,"Nhập tại kho: 256 Bạch P. 24, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM) Đằng,"
0,Số hóa đơn,Số: NG 184
1,Ngày nhập kho,Ngày 3 tháng 8 năm 2022
0,Gạch men ốp,15,202.500,3.037.500
1,Gạch thạch anh giả cổ,20,160.000,3.200.000
2,Gạch thạch anh Park way,30,172.800,5.184.000
3,Gạch thạch anh Quartz,10,338.400,3.384.000
4,nghệ INKJET,30,800.000,24.000.000
5,Gạch thạch anh,25,614.400,15.360.000
6,kiếng hạt mịn kết tinh,10,352.800,3.528.000
7,Gạch thạch anh,15,499.200,7.488.000
8,kiếng t,,,
9,đơn,,,
10,Gạch thạch anh bóng kiếng hạt mịn,,,
11,Gạch thạch anh bóng kiếng phân bổ,,,
12,tường,,,
13,Công,,,
14,bóng,,,
15,g trắng c,,,
16,bóng l,,,
